Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Моб. ном. телефону,Email
Щорс,Симон,Володимирович,Ч,16.08.1947,Промисловець,село Антрацит ,"парк Озерна, буд. 1, Горлівка, 43986",063 17 03,hryhorii27@example.com
Алексюк,Ілля,Сергійович,Ч,05.06.1964,Актор,хутір Моспине,"проспект Ватманський, буд. 3 кв. 1, Глухів, 14156",+380 19 251-61-11,erikamasliak@example.org
Шахрай,Ганна,Едуардівна,Ж,02.05.1990,Кіноактор,місто Привілля,"сквер Іванова Ігоря, буд. 5, Щолкіне, 22558",457-93-43,alevtyn45@example.com
Христенко,Борислав,Дмитрович,Ч,28.10.1988,Єгер,селище Феодосія,"парк Чорноморський 13-й, буд. 6 кв. 8, Миргород, 19243",243 55 66,iustyna03@example.org
Дахно,Ада,Єгорівна,Ж,20.02.2003,Ветеринар,місто Борислав,"площа Перепечка, буд. 64, Глухів, 32914",+380 (24) 265-79-71,riabovilklavdiia@example.com
Чайка,Веніямин,Олексійович,Ч,22.03.1939,Бізнесмен,селище Дубно,"узвіз Сортувальна 2-га, буд. 62, Сокиряни, 96808",321-35-47,akymenkozakhar@example.net
Ємець,Данна,Богданівна,Ж,29.07.1975,Географ,хутір Луцьк,"узвіз Мічманський 1-й, буд. 776 кв. 433, Болехів, 30569",564 33 37,zabarnyilarysa@example.com
Лубенець,Еріка,Петрівна,Ж,31.07.1967,Мистецтвознавець,село Новоселиця,"сквер Левкоєва, буд. 82, Шаргород, 91128",+380 88 877 90 71,rostyslav12@example.net
Каденюк,Володимира,Петрівна,Ж,31.01.2001,Клавішник,місто Ямпіль,"сквер Паркова, буд. 2, Жмеринка, 04252",+380 93 986-80-20,avhustynusyk@example.org
Воблий,Ярема,Дмитрович,Ч,16.06.1970,Фольклорист,село Валки ,"узвіз Демократична, буд. 5 кв. 33, Подільськ, 34774",+380 78 942 01 03,oleksandr55@example.com
Ільєнко,Пантелеймон,Дмитрович,Ч,22.11.1942,Єгер,село Соледар,"узвіз Луценка Івана, буд. 769, Алчевськ, 36977",640-42-08,iereskodaryna@example.net
Вівчаренко,Камілла,Дмитрівна,Ж,03.05.1957,Перекладач,село Залізне,"парк Братська, буд. 172, Ладижин, 03047",+380 27 568-99-41,chumakstepan@example.com
Артимишин,Пилип,Петрович,Ч,13.11.1978,Психолог,селище Славута,"узвіз Тополиний, буд. 09, Кадіївка, 88707",+380 63 551-60-06,kolodubazar@example.net
Шеремета,Златослава,Едуардівна,Ж,02.02.1993,Географ,село Макіївка,"узвіз Олександра Невського, буд. 584, Васильків, 80063",+380 84 268-08-03,hennadiiiushchenko@example.net
Засядько,Стефан,Сергійович,Ч,05.09.1938,Музичний редактор,селище Тростянець,"провулок Травневий 5-й, буд. 75, Вугледар, 93717",014 853 64 14,illia29@example.org
Сірко,Лукʼян,Дмитрович,Ч,01.11.1941,Графік,село Новоград-Волинський,"узвіз Академіка Заболотного, буд. 186, Костянтинівка, 27244",094 914 80 45,viktor39@example.com
Супруненко,Одарка,Михайлівна,Ж,23.03.1973,Фольклорист,місто Валки ,"проспект Надіїі, буд. 3, Бібрка, 64427",057 007 09 78,tsarenkoolena@example.net
Захарченко,Пантелеймон,Михайлович,Ч,02.02.2001,Біолог,селище Первомайський ,"площа Басейний 6-й, буд. 612 кв. 09, Хмельницький, 83772",032 733 14 43,skorobohatkoihor@example.org
Аверченко,Василь,Сергійович,Ч,10.07.1938,Бібліограф,село Мар'їнка,"вулиця Володимира Хавкіна, буд. 0, Новомосковськ, 70550",031 611 73 18,emiliiakashchenko@example.net
Остапчук,Наталія,Володимирівна,Ж,06.09.1994,Візажист,місто Гола Пристань,"провулок Інглезі, буд. 3 кв. 302, Алчевськ, 02328",084 792 20 39,nataliiakybkalo@example.org
Онуфрієнко,Клавдія,Едуардівна,Ж,21.09.1942,Математик,село Голубівка,"проспект П'ята, буд. 56 кв. 7, Харків, 46960",006 623-67-80,karmaliukmarta@example.com
Алексюк,Степан,Олексійович,Ч,13.06.1946,Палеонтолог,місто Енергодар,"сквер Пролетарський 3-й, буд. 1, Святогірськ, 19304",160-20-88,ovsiienkoiakiv@example.com
Василашко,Емілія,Олексіївна,Ж,07.08.2001,Акушер,селище Черкаси,"парк Вернидуба, буд. 1, Жданівка, 87546",+380 75 900 91 37,vasylbevz@example.org
Абрамчук,Маруся,Дмитрівна,Ж,26.07.1959,Локсмайстер,село Ізмаїл,"сквер Моторний 3-й, буд. 83 кв. 078, Сніжне, 18679",+380 73 995 73 15,irvanetshennadii@example.com
Артюшенко,Орест,Андрійович,Ч,01.06.1993,Ріелтор,місто Тальне,"набережна Одеса-Головна, буд. 6, Самбір, 61158",080 256-11-23,lizazabarnyi@example.org
Яременко,Олена,Андріївна,Ж,25.01.1965,Візажист,село Ананьїв,"набережна Юрія Яновського, буд. 101, Миргород, 17676",041 784-38-48,okhrimriaboshapka@example.org
Матвієнко,Віктор,Богданович,Ч,16.01.1959,Патологоанатом,місто Знам'янка,"провулок Тимірязєва 4-й, буд. 7 кв. 3, Ровеньки, 22959",022 095-94-77,spas74@example.org
Худобʼяк,Ярослава,Єгорівна,Ж,26.09.1958,Реабілітолог,місто Алчевськ,"провулок Косяченка Олексія, буд. 4, Гола Пристань, 61645",400 47 15,olifirenkoerika@example.org
Базилевич,Валентина,Едуардівна,Ж,21.09.1951,Єгер,селище Ананьїв,"площа Аеропортівський 1-й, буд. 4, Краматорськ, 27030",+380 21 126-09-73,myronabramchuk@example.org
Бабенко,Валентина,Сергіївна,Ж,11.03.1940,Вчитель,селище Попасна,"провулок Сортувальна 1-ша, буд. 9, Мар'їнка, 31662",854-16-45,avrelii51@example.net
Свистун,Наталія,Михайлівна,Ж,28.06.1947,Скульптор,село Українка ,"узвіз Ольгіївська, буд. 1 кв. 32, Кам'янка-Дніпровська, 59105",055 731-03-50,gzhytskyizakhar@example.org
Запорожець,Франц,Дмитрович,Ч,13.07.1997,Інженер,село Білгород-Дністровський,"проспект Станційна 2-га, буд. 107 кв. 318, Тлумач, 03314",+380 22 130-62-35,lytvynsvitlana@example.com
Вдовиченко,Юхим,Олексійович,Ч,01.11.1984,Стиліст,місто Щастя ,"шосе Василя Симоненка, буд. 916, Енергодар, 42248",450 49 23,liliia16@example.com
Сірко,Климент,Петрович,Ч,21.02.1974,Гірник,селище Сіверськ,"парк 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 94 кв. 2, Нікополь, 04238",826 56 88,nataliiaiatseniuk@example.org
Архимович,Ірина,Сергіївна,Ж,28.02.1952,Гінеколог,селище Джанкой,"набережна Проїзний 2-й, буд. 3, Жмеринка, 28259",070 603-76-99,iermolenkooksana@example.com
Козаченко,Федір,Олексійович,Ч,15.03.1951,Музичний редактор,селище Дунаївці,"узвіз Полтавська, буд. 2, Камінь-Каширський, 73980",+380 76 241-49-29,iemelianenkosolomiia@example.com
Малик,Соломія,Михайлівна,Ж,24.03.1948,Лікар,місто Костопіль,"сквер Магнітогорський 2-й, буд. 0, Люботин, 58514",+380 94 295-19-18,serhiihuk@example.com
Шутько,Орина,Володимирівна,Ж,05.09.1950,Мікробіолог,місто Ананьїв,"площа Трояндова, буд. 2, Дніпро , 12490",061 320 71 64,bandurkaanita@example.com
Гайда,Василина,Олексіївна,Ж,14.05.1960,Лікар,село Чистякове,"сквер Марії Демченко 2-й, буд. 7, Костопіль, 97750",+380 78 978-28-77,edyta02@example.net
Іваненко,Наталія,Єгорівна,Ж,10.07.1947,Візажист,село Борислав,"провулок Лузанівка, буд. 09, Володимир-Волинський, 45071",605 40 03,hrudko@example.net
Притула,Симон,Дмитрович,Ч,26.10.1974,Головний меркшейдер,хутір П'ятихатки,"провулок Брестська, буд. 641 кв. 7, Ічня, 61147",991 27 17,chornoviloleh@example.com
Штокало,Гордій,Андрійович,Ч,08.05.1971,Гірничий інженер,селище Тисмениця,"парк Каманіна, буд. 69, Турка, 37884",792-72-58,bsimashkevych@example.net
Цимбалюк,Аарон,Андрійович,Ч,24.03.1938,Стиліст,хутір Вишневе ,"узвіз 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 141, Краматорськ, 21464",+380 (44) 267-11-34,feofan19@example.org
Жученко,Степан,Богданович,Ч,12.02.1939,Хореограф,селище Свалява,"проспект Балтська дорога, буд. 453 кв. 77, Балаклія, 42591",+380 29 836 82 17,maksymsahal@example.com
Ребрик,Аркадій,Едуардович,Ч,14.09.1948,Електромонтажник,хутір Ладижин,"набережна Солонцюватий 1-й, буд. 399, Дубровиця, 25809",+380 (74) 295-16-33,marko80@example.net
